question;reponse
De quand date la lettre de Bérégovoy ? ;1884
De quand date la lettre de l'ACOSS;2007
De quand datent la lettre et les arrêtés ministériels ? ;1988
Qu'est ce que permet le statut dérogatoire ? ;Permet de diminuer les charges sociales
En quelle année a été créée la 1ere Junior-Entreprise ? ;1967
Quelle est le nom de la première Junior-Entreprise ? ;ESSEC
Par quelle loi sommes-nous régis ? ;Loi de 1901 (waldeck rousseau)
De combien de personnes doit être composé au minimum une JE  ?;3
Quelle est l'objectif de la lettre de Bérégovoy ?;Définition des statuts fiscals des JE (TVA, impôts sur les sociétés, honoraires et declaration anuelle des salaires)
Quelle est l'objectif de la lettre et des arrêtés ministériels ? ;Complément sur le statut social de la loi de 1901, défini les déclaratifs à réaliser, mise en place des JEH, intervenant affilié au RGSS(Régime général de la sécurité sociale)
Quelle est l'objectif de la lettre de l'ACOSS ? ;Clarifiaction sur le statut social des JE, possibilité de faire des phases sans plus-value pédagogique si elles sont indispensable à la réalisation de la phase.
Les JE sont soumises à l'obligation de moyen ou de résultat ? ;obligation de moyen
Est-ce qu'un email est une preuve dans le droit civil ? ;Non
Est- ce qu'un aveu est une preuve dans le droit civil ? ;Oui
Quelle est la tranche de prix d'une JEH ? ;entre 80 et 450€
De quoi doit être composé le bureau au minimum ? ;Président, trésorerier et secretaire général
Combien de stagiaire peut accueillir Capisen ? ;3 stagiaires en simultané max
Est ce que le président est responsable de tous les manquements de la JE  ?;Non
Quelle est la date de création de Capisen ? ;2008
Quand Capisen a eu le statut de JE ?;2014
Quelles sont les 3 statuts qui existent ? ;Junior-Céation, Junior Initiative et Junior-Entreprise
Quelle est la nationalité des étudiants n'ayant pas le droit d'intervenir sur des études dans les JE? ;Algériens
Quels sont les documents obligatoires pour prendre part à une étude ? ;Bulletin d'adhésion, pièce d'identité, carte vitale, carte étudiante et  attestation sur l'honneur
Que vaut la base URSAF ? ;Nbr JEH * SMIC horaire 
Quelle est la valeur du SMIC actuellement ? ;10,57€
Quelles sont les valeurs de la JE ? ;Profesionnalisme, Cohésion et Engagement
En quelle année a été créée la CNJE?;1969
Combien d'assemblées générales sont obligatoires par an?;Une seule, l'AGO de fin de mandat
Peut-on modifier les statuts de la JE lors d'une AGO?;Non, il faut obligatoirement une AGE. On peut regrouper AGE et AGO au sein d'une AGM (mixte)
Combien d'AGP par an?;5
Citer les 4 textes fondamentaux;C'est facile ça 
C'est quoi le RGPD;"Règlement général pr la protection des données. Chacun peut faire valoir son droit d'accès, de rectification, d'effacement, d'opposition ou de portabilité
La JE doit y répondre sous 1 mois et gratuitement"
"Compléter la phrase suivante
Les membres d’une Junior réalisent des prestations de service dans le but de ...";mettre en application les enseignements dispensés dans leur établissement
Citer un exemple de domaine où une JE n'a pas le droit de proposer de prestation;expertise comptable, droit, médecine, sport
"Compléter la phrase suivante
Les enseignements dispensés dans l’établissement permettent la réalisation d’un livrable";tangible de qualité
« Mon intervenant doit travailler directement chez le client, est-ce-que cela pose problème ? »;Non, si la Junior conserve la maîtrise d’œuvre (cahier des charges précis, rendez-vous réguliers, etc.)
La Junior respecte le taux d’ouverture afin de témoigner de la gestion ..................... de l’association;désintéressée
